age,cap,goal,name,club,nation
23,0,0,Mohamed Yousif,Sharjah,uae
25,9,0,Mohamed Ahmed,Al-Ain,uae
29,66,0,Qasem Burhan,Al-Gharafa,qatar
28,24,0,Mohammed Musa,Lekhwiya,qatar
21,28,4,Abdelkarim Hassan,Al-Sadd,qatar
22,12,1,Almahdi Ali Mukhtar,Al-Sadd,qatar
24,19,0,Abdulaziz Hatem,Al-Arabi,qatar
28,103,2,Bilal Mohammed,Al-Gharafa,qatar
22,26,1,Khalid Muftah,Lekhwiya,qatar
21,10,3,Ali Assadalla,Al-Sadd,qatar
30,33,6,Meshal Abdullah,Al-Ahli,qatar
26,81,22,Khalfan Ibrahim,Al-Sadd,qatar
24,49,3,Hassan Al-Haydos,Al-Sadd,qatar
29,56,8,Magid Mohamed,El-Jaish,qatar
24,67,4,Ibrahim Majid,Al-Sadd,qatar
25,4,0,Khalid Abdulraouf,El-Jaish,qatar
24,2,1,Abdurahman Abubakar,El-Jaish,qatar
24,11,6,Boualem Khoukhi,Al-Arabi,qatar
24,14,0,Ismaeel Mohammad,Lekhwiya,qatar
27,0,0,Tresor Kangambu,Lekhwiya,qatar
21,0,0,Mohammed Muntari,El-Jaish,qatar
25,9,0,Karim Boudiaf,Lekhwiya,qatar
24,2,0,Ahmed Soufiane,El-Jaish,qatar
24,15,0,Saad Al Sheeb,Al-Sadd,qatar
25,9,1,Ahmed Abdul Maqsoud,Umm-Salal,qatar
29,54,0,Sayed Jaffer,Muharraq,bahrain
34,90,8,Mohamed Husain,Al-Nassr,bahrain
26,8,0,Waleed Al-Hayam,Muharraq,bahrain
22,16,4,Sayed Saeed,Al-Riffa,bahrain
21,1,0,Abdulla Shallal,Al-Riffa,bahrain
26,5,0,Abdulla Yaser,Muharraq,bahrain
30,36,1,Abdulwahab Al-Safi,Al-Qadisiyah,bahrain
23,9,0,Sayed Ahmed,Al-Busaiteen,bahrain
25,15,1,Abdulwahab Al-Malood,Hidd,bahrain
25,10,5,Mohammed Tayeb Al Alawi,Al-Riffa,bahrain
28,61,29,Ismail Abdul-Latif,Muharraq,bahrain
29,59,16,Faouzi Aaish,Al-Sailiya,bahrain
24,27,0,Abdulla Al-Haza'a,Hidd,bahrain
29,45,21,Jaycee John Okwunwanne,Al-Mesaimeer,bahrain
28,42,3,Abdullah Omar,Muharraq,bahrain
21,0,0,Abdulla Yusuf Helal,East Riffa,bahrain
32,71,1,Hussain Ali Baba,Muharraq,bahrain
25,23,0,Mohamed Duaij Mahorfi,Al-Riffa,bahrain
26,0,0,Faisal Bodahoom,East Riffa,bahrain
25,37,4,Sami Al-Husaini,Al-Busaiteen,bahrain
25,1,0,Hamed Al-Doseri,Al-Riffa,bahrain
23,0,0,Ashraf Waheed Al Sebaie,Manama,bahrain
25,16,0,Rashed Al Hooti,Al-Riffa,bahrain
31,64,0,Eiji Kawashima,Standard Liège,japan
20,0,0,Naomichi Ueda,Kashima Antlers,japan
27,3,0,Kosuke Ota,FC Tokyo,japan
28,65,24,Keisuke Honda,Milan,japan
28,76,3,Yuto Nagatomo,Internazionale,japan
27,17,1,Masato Morishige,FC Tokyo,japan
34,148,14,Yasuhito Endō,Gamba Osaka,japan
25,26,1,Hiroshi Kiyotake,Hannover 96,japan
28,84,40,Shinji Okazaki,Mainz 05,japan
25,63,19,Shinji Kagawa,Borussia Dortmund,japan
29,6,1,Yōhei Toyoda,Sagan Tosu,japan
28,15,0,Shusaku Nishikawa,Urawa Red Diamonds,japan
27,2,0,Yu Kobayashi,Kawasaki Frontale,japan
22,6,1,Yoshinori Muto,FC Tokyo,japan
31,84,2,Yasuyuki Konno,Gamba Osaka,japan
26,2,0,Tsukasa Shiotani,Sanfrecce Hiroshima,japan
30,83,2,Makoto Hasebe,Eintracht Frankfurt,japan
26,14,2,Takashi Inui,Eintracht Frankfurt,japan
22,0,0,Gen Shoji,Kashima Antlers,japan
22,4,1,Gaku Shibasaki,Kashima Antlers,japan
23,19,0,Gōtoku Sakai,VfB Stuttgart,japan
26,49,3,Maya Yoshida,Southampton,japan
28,0,0,Masaaki Higashiguchi,Gamba Osaka,japan
32,117,0,Amer Shafi,Al-Wehdat,jordan
21,12,0,Rajaei Ayed,Al-Wehdat,jordan
22,15,0,Tareq Khattab,Al-Shabab,jordan
20,1,0,Samir Raja,Al-Wehdat,jordan
25,27,0,Mohammad Mustafa,Al-Khor,jordan
24,38,6,Saeed Murjan,Al-Ramtha,jordan
24,3,0,Mahmoud Za'tara,Al-Wehdat,jordan
28,84,10,Odai Al-Saify,Al-Salmiya,jordan
20,4,0,Ahmed Sariweh,Al-Qadisiyah,jordan
31,49,18,Ahmad Hayel,Al-Arabi,jordan
23,30,0,Oday Zahran,Shabab Al-Ordon,jordan
32,7,0,Moataz Yaseen,That Ras,jordan
23,45,6,Khalil Bani Attiah,Al-Faisaly,jordan
27,97,20,Abdallah Deeb,Al-Riffa,jordan
22,6,0,Mohammad Al-Dawud,Hidd,jordan
22,9,0,Munther Abu Amarah,Al-Wehdat,jordan
20,2,0,Saleh Rateb,Al-Wehdat,jordan
24,4,0,Ahmed Elias,Al-Wehdat,jordan
26,71,3,Anas Bani Yaseen,Al-Raed,jordan
23,21,4,Hamza Al-Dardour,Al-Khaleej,jordan
27,48,2,Mohammad Al-Dmeiri,Al-Ittihad,jordan
30,7,0,Ahmed Abdel-Sattar,Al-Jazeera,jordan
24,13,1,Yousef Al-Rawashdeh,Al-Ramtha,jordan
21,0,0,Ali Yaseen,Naft Al-Janoob,iraq
22,41,0,Ahmad Ibrahim,Ajman,iraq
22,21,0,Ali Bahjat,Al-Shorta,iraq
20,8,0,Ali Faez,Erbil,iraq
23,5,1,Yaser Kasim,Swindon Town,iraq
21,27,1,Ali Adnan,Rizespor,iraq
23,18,0,Amjad Kalaf,Al-Shorta,iraq
26,4,0,Justin Meram,Columbus Crew,iraq
23,30,1,Ahmed Yasin,Örebro,iraq
31,131,51,Younis Mahmoud,,iraq
18,23,0,Humam Tariq,Al Dhafra,iraq
23,14,0,Jalal Hassan,Erbil,iraq
22,9,0,Osama Rashid,Alphense Boys,iraq
28,76,4,Salam Shaker,Al-Shorta,iraq
20,17,1,Dhurgham Ismail,Al-Shorta,iraq
22,5,0,Marwan Hussein,Al-Shorta,iraq
27,78,13,Alaa Abdul-Zahra,Al-Shorta,iraq
22,2,0,Sameh Saeed,Baghdad,iraq
20,10,0,Mahdi Kamel,Al-Shorta,iraq
21,10,0,Mohammed Hameed,Al-Shorta,iraq
22,36,1,Saad Abdul-Amir,Erbil,iraq
20,3,0,Ali Husni,Al-Minaa,iraq
23,23,0,Waleed Salem,Al-Shorta,iraq
24,14,0,Tawfiq Ali,Wadi Al-Nes,palestine
32,27,0,Raed Fares,Thaqafi Tulkarm,palestine
31,44,3,Hussam Abu Saleh,Hilal Al-Quds,palestine
28,20,1,Ahmed Harbi,Al-Am'ary,palestine
28,17,1,Haytham Theeb,Hilal Al-Quds,palestine
27,29,1,Mousa Abu Jazar,Shabab Al-Khalil,palestine
28,48,13,Ashraf Nu'man,Al-Faisaly,palestine
27,9,0,Hesham Salhe,Hilal Al-Quds,palestine
25,12,0,Khaled Salem,Hilal Al-Quds,palestine
31,39,7,Ismail Al-Amour,Hilal Al-Quds,palestine
23,10,5,Ahmed Maher,Shabab Al-Dhahiriya,palestine
28,0,0,Tamer Salah,Hilal Al-Quds,palestine
28,1,0,Jaka Ihbeisheh,NK Krka,palestine
21,10,1,Abdullah Jaber,Hilal Al-Quds,palestine
30,29,1,Abdelatif Bahdari,Al-Wehdat,palestine
21,4,1,Mahmoud Eid,Nyköping,palestine
30,7,0,Alexis Norambuena,GKS Belchatow,palestine
21,7,0,Mus'ab Al-Batat,Shabab Al-Dhahiriya,palestine
25,25,6,Abdelhamid Abuhabib,Markaz Balata,palestine
30,56,1,Khader Yousef,Wadi Al-Nes,palestine
34,66,0,Ramzi Saleh,unattached,palestine
23,0,0,Rami Hamadi,Shabab Al-Khalil,palestine
32,27,1,Murad Ismail Said,Hilal Al-Quds,palestine
