age,cap,goal,height,name,nation,salary
32,35,0,178,MohammedAyashM.,jemen,75
20,0,0,182,SalemAl,jemen,75
30,15,0,185,SaoudAl,jemen,75
22,0,0,174,RamiAl,jemen,75
29,11,0,178,AbdulazizAl,jemen,75
29,3,0,184,MohammedFuad,jemen,90
24,10,0,181,AmmarHamsanA.,jemen,68
26,36,1,190,MudirAl,jemen,75
23,14,0,172,AlaAddin,jemen,75
24,38,1,173,MohammedBoqshanM.,jemen,75
33,30,0,172,WahidAl,jemen,75
24,16,0,169,AhmedAlosA.,jemen,75
25,38,0,182,AhmedAl,jemen,75
28,14,0,170,HusseinAhmed,jemen,75
31,66,8,175,Ala'aAl,jemen,68
24,31,5,167,AbdulwaseaAl,jemen,75
30,4,0,179,MohammedBa,jemen,75
20,21,2,168,AhmedAl,jemen,75
24,9,0,173,AhmedAbdulrabA.,jemen,75
24,5,0,174,AhmedDhabaanA.,jemen,75
21,2,0,170,AliAbdullah,jemen,75
27,4,0,172,SalemAl,jemen,75
26,12,1,174,EmadMansoorE.,jemen,75
28,45,0,184,SaadAl,Qatar,315
22,5,0,177,YousefHassanY.,Qatar,90
21,2,0,177,MohamedAl,Qatar,68
28,58,16,180,BoualemKhoukhiB.,Qatar,405
28,42,1,188,PedroMiguelPedro,Qatar,315
21,17,2,175,BassamHisham,Qatar,113
25,81,10,186,AbdelkarimHassanAbdelkarim,Qatar,585
28,54,3,183,AbdulazizHatemA.,Qatar,180
27,18,1,161,AbdulkareemSalem,Qatar,23
32,60,0,169,HamidIsmaeilH.,Qatar,180
22,1,0,177,TameemAl,Qatar,23
18,1,0,177,KhaledMohamedK.,Qatar,6392
28,65,4,187,KarimBoudiafK.,Qatar,765
22,8,0,183,SalemAl,Qatar,180
21,17,0,179,TarekSalmanT.,Qatar,45
22,20,0,168,AssimMadiboA.,Qatar,90
25,8,0,166,AhmedFathiA.,Qatar,68
21,1,0,177,AbdelrahmanMoustafaA.,Qatar,68
22,44,12,177,AkramAfifA.,Qatar,630
31,53,10,172,AliHassan,Qatar,450
28,117,26,174,HasanAl,Qatar,135000
26,21,1,177,AhmedAlaaeldinAhmed,Qatar,248
22,38,19,180,AlmoezAliA.,Qatar,788
27,7,0,185,MohammedAl,saudi-arabia,162000
32,72,0,196,WaleedAbdullahW.,saudi-arabia,360
21,0,0,190,MohammedAl,saudi-arabia,158
27,8,0,176,MohammedAl,saudi-arabia,900
