age,cap,name,club,nation,height,salary
25,41,Ri Kwang-chon,April 25,north_korea,169,382
22,5,Choe Myong-ho,Pyongyang City,north_korea,172,45
29,10,Ryang Yong-gi,Vegalta Sendai,north_korea,172,900
34,32,Ji Yun-nam,April 25,north_korea,176,270
26,27,Jong Tae-se,VfL Bochum,north_korea,180,225000
26,69,Hong Yong-jo,Unattached,north_korea,175,675
32,45,Mun In-guk,April 25,north_korea,169,360
22,11,Jon Kwang-ik,Amrokgang,north_korea,185,135
25,36,Pak Chol-jin,Amrokgang,north_korea,185,450
27,86,Kim Yong-jun,Pyongyang City,north_korea,182,540
23,18,Choe Kum-chol,Rimyongsu,north_korea,182,405
32,30,An Yong-hak,Kashiwa Reysol,north_korea,182,450
26,31,Kim Myong-gil,Amrokgang,north_korea,181,135
25,19,An Chol-hyok,Rimyongsu,north_korea,177,405
23,5,Ri Kwang-hyok,Kyonggongop,north_korea,175,180
22,8,Pak Chol-min,Rimyongsu,north_korea,178,382
22,0,Ri Kwang-il,Sobaeksu,north_korea,192,382
22,2,Kim Kuk-jin,Wil,north_korea,175,225
26,53,Majed Nasser,Al Wasl,uae,178,315
23,8,Khalid Sebil Lashkari,Al-Jazira,uae,179,315
21,3,Mohamed Ahmed,Al Shabab,uae,183,315
30,99,Subait Khater,Al-Jazira,uae,173,360
21,6,Amer Abdulrahman,Baniyas,uae,168,315
22,26,Fares Juma Al Saadi,Al Ain,uae,181,315
27,33,Ali Al-Wehaibi,Al Ain,uae,170,315
21,15,Hamdan Al Kamali,Al Wahda,uae,183,315
22,45,Mohamed Al Shehhi,Al Wahda,uae,179,315
27,88,Ismail Matar,Al Wahda,uae,168,405
19,17,Ahmed Khalil,Al-Ahli,uae,163,315
31,5,Obaid Al Tawila,Al-Ahli,uae,186,315
20,5,Theyab Awana,Baniyas,uae,175,315
25,18,Walid Abbas,Al-Shabab Al-Arabi,uae,182,315
22,27,Ismail Al Hammadi,Al-Ahli,uae,166,315
23,32,Amer Mubarak,Al-Nasr,uae,175,315
25,28,Yousif Jaber,Baniyas,uae,183,315
23,3,Abdulla Al Bloushi,Al-Jazira,uae,187,315
34,60,Saeed Al Kass,Al Wasl,uae,177,315
22,3,Saeed Al Kathiri,Al Wahda,uae,183,315
23,0,Mahmoud Khamees,Al-Wahda,uae,171,315
23,3,Ali Khasif,Al-Jazira,uae,184,315
19,3,Omar Abdulrahman,Al Ain,uae,173,315
21,4,Ali Mutashar,Al-Talaba,iraq,185,202
24,23,Mohammed Ali Karim,Al-Zawraa,iraq,170,113
28,70,Bassim Abbas,Konyaspor,iraq,175,360
29,60,Qusay Munir,Qatar SC,iraq,178,225
26,96,Nashat Akram,Al-Wakrah,iraq,186,675
18,9,Saad Abdul-Amir,Al-Karkh,iraq,183,202
28,89,Emad Mohammed,Shahin Bushehr,iraq,170,315
23,20,Samer Saeed,Al-Ahly Tripoli,iraq,170,45
23,26,Mustafa Karim,Al-Sailiya,iraq,176,540
27,86,Younis Mahmoud,Al-Gharafa,iraq,185,900
29,95,Hawar Mulla Mohammed,Esteghlal,iraq,170,405
24,30,Mohammed Gassid,Erbil,iraq,181,45
23,33,Karrar Jassim,Tractor Sazi,iraq,179,135
24,27,Salam Shakir,Al-Khor,iraq,191,113
25,61,Ali Rehema,Al-Wakrah,iraq,180,270
25,32,Samal Saeed,Najaf,iraq,174,202
23,27,Alaa Abdul-Zahra,Al Kharaitiyat,iraq,179,90
27,83,Mahdi Karim,Erbil,iraq,174,450
22,15,Ahmad Ayad,Al-Quwa Al-Jawiya,iraq,178,202
21,10,Muthana Khalid,Al-Quwa Al-Jawiya,iraq,179,90
21,10,Muthana Khalid,Al-Quwa Al-Jawiya,iraq,180,202
18,3,Ahmad Ibrahim,Erbil,iraq,190,202
23,16,Saad Attiya,Erbil,iraq,182,135
27,56,Mehdi Rahmati,Sepahan,iran,187,113000
34,22,Khosro Heydari,Sepahan,iran,174,720
29,1,Farshid Talebi,Zob Ahan,iran,189,720
28,56,Jalal Hosseini,Sepahan,iran,182,270000
29,49,Hadi Aghili,Sepahan,iran,187,990
30,122,Javad Nekounam,Osasuna,iran,186,720000
26,34,Gholamreza Rezaei,Persepolis,iran,169,585
26,35,Masoud Shojaei,Osasuna,iran,185,306000
27,32,Mohammad Reza Khalatbari,Zob Ahan,iran,169,135000
20,9,Karim Ansarifard,Saipa,iran,183,720
20,30,Ehsan Hajsafi,Sepahan,iran,176,900
32,75,Ebrahim Mirzapour,Paykan,iran,195,675
31,12,Mohsen Bengar,Sepahan,iran,191,405
27,51,Andranik Teymourian,Tractor Sazi,iran,180,675
27,1,Ghasem Hadadifar,Zob Ahan,iran,179,720
28,0,Reza Norouzi,Foolad,iran,190,720
27,14,Mohammad Nouri,Persepolis,iran,186,495
30,30,Pejman Nouri,Malavan,iran,177,720
27,8,Mohammad Gholami,Steel Azin,iran,184,720
29,74,Mohammad Nosrati,Tractor Sazi,iran,186,450
21,0,Arash Afshin,Foolad,iran,185,720
26,0,Shahab Gordan,Zob Ahan,iran,193,720
28,56,Iman Mobali,Esteghlal,iran,174,900
